full_text	label
arbani	B-ACT
ga	O
yang	O
sepenuhnya	O
fail	O
juga	O
memerankan	O
dilan	B-CHAR
dewasa	O
tapi	O
ya	O
dilan	B-CHAR
yang	O
diperankan	O
iqbaal	B-ACT
buat	O
kami	O
masih	O
lebih	O
mengena	O
dialog	O
gestur	O
dan	O
celetukan	O
konyol	O
khas	O
dilan	B-CHAR
berasa	O
lebih	O
hidup	O
dipresentasi	O
lewat	O
intonasi	O
ekspresi	O
versi	O
iqbaal	B-ACT
ketimbang	O
versi	O
arbani	B-ACT
meski	O
agak	O
lama	O
ya	O
panasnya	O
alienoid	B-MVT
part	I-MVT
2	I-MVT
return	I-MVT
to	I-MVT
the	I-MVT
future	I-MVT
menurut	O
kami	O
adalah	O
sajian	O
film	O
action	B-GEN
yang	O
solid	O
keabsurdannya	O
yang	O
di	O
luar	O
nalar	O
dan	O
actionnya	B-GEN
yang	O
fantastis	O
kami	O
rasa	O
film	O
ini	O
bakalan	O
sayang	O
banget	O
untuk	O
dilewatkan	O
buat	O
kalian	O
yang	O
pengen	O
liat	O
review	O
tontonan	O
kami	O
di	O
sepanjang	O
tahun	O
2023	O
silakan	O
cek	O
thread	O
berikut	O
ini	O
atau	O
klik	O
gt	O
wmidreview	O
karakter	O
madame	B-CHAR
web	I-CHAR
sendiri	O
bakal	O
jadi	O
salah	O
satu	O
core	O
atau	O
karakter	O
penting	O
karena	O
nantinya	O
bakal	O
munghubungkan	O
spider-people	B-CHAR
satu	O
dengan	O
yang	O
lain	O
di	O
ranah	O
yang	O
lebih	O
besar	O
madame	B-MVT
web	B-MVT
ini	O
ngasih	O
gambaran	O
baru	O
soal	O
spider-people	B-CHAR
dan	O
cerita	O
kekuatan	O
laba-laba	O
yang	O
ga	O
itu	O
itu	O
susah	O
buat	O
ga	O
senyam	O
senyum	O
liat	O
performa	O
akting	O
iman	B-ACT
vellani	I-ACT
sebagai	O
si	O
bungsu	O
yang	O
malu-malu	O
ketemu	O
kakak	O
idolanya	O
ngeliat	O
kekompakan	O
trio	B-CHAR
marvels	I-CHAR
ini	O
rasanya	O
jiwa-nya	O
