created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 28 22:56:49 +0000 2024;1762975167180128385;"Masih pagi, min..";0;1;1;8;in;950632407530577920;1762975167180128385;WatchmenID;https://twitter.com/WatchmenID/status/1762975167180128385
Wed Feb 28 12:23:49 +0000 2024;1762815868332032037;"Kali ini WatchmenID berkesempatan ngobrol langsung bareng Aang (Gordon Cormier) dan Zuko (Dallas Liu) !!  Sekali lagi, terima kasih @NetflixID yang sudah memberi kami kesempatan ini ❤️  Full Interview ⤵️ https://t.co/WlosKWcAWs https://t.co/XIVwMVoBuM";21;8;117;466;in;950632407530577920;1762815868332032037;WatchmenID;https://twitter.com/WatchmenID/status/1762815868332032037
Wed Feb 28 11:21:35 +0000 2024;1762800208277279018;"Bukan film horor pertama-nya Reza, min @cinema21";1;12;4;74;in;950632407530577920;1762800208277279018;WatchmenID;https://twitter.com/WatchmenID/status/1762800208277279018
Wed Feb 28 11:20:59 +0000 2024;1762800056439279635;"@sir_amirsyarif eh itu statement nya Reza ga gitu hei 😂  gara gara miminnya @cinema21 hih 🤣";0;1;1;3;in;950632407530577920;1762772800241299477;WatchmenID;https://twitter.com/WatchmenID/status/1762800056439279635
Wed Feb 28 08:21:12 +0000 2024;1762754814231163015;"SIKSA KUBUR Gimana posternya? https://t.co/CGl2ydPhgC";77;174;101;839;in;950632407530577920;1762754814231163015;WatchmenID;https://twitter.com/WatchmenID/status/1762754814231163015
Wed Feb 28 08:11:14 +0000 2024;1762752304011497853;"@DisneyPlusID Kultur Nigeria yang dibawa disini cukup kental ya dengan perpaduan futuristic yang sedikit mengingatkan kita dengan teknologi di Wakanda (ga mirip tapi ya ngingetin aja!)  Bisa ditonton di @DisneyPlusID sekarang!! https://t.co/B3lGVTwab6";0;1;2;6;in;950632407530577920;1762750506072682851;WatchmenID;https://twitter.com/WatchmenID/status/1762752304011497853
Wed Feb 28 08:09:44 +0000 2024;1762751925748219988;"@DisneyPlusID Animasinya yaa ga usah diragukan lagi sihhh, keren dan bagus banget untuk sebuah serial animasi yang tayang di OTT. Mungkin “Iwájú” ini punya potensi menjadi film sih, karena durasinya kalau digabung sama seperti film animasi.  https://t.co/Ea4D6OM6gr";0;2;2;7;in;950632407530577920;1762750506072682851;WatchmenID;https://twitter.com/WatchmenID/status/1762751925748219988
Wed Feb 28 08:06:49 +0000 2024;1762751193166786702;"Tidak seperti serial animasi Disney pada umumnya, serial ini mampu mengangkat suatu cerita yang mungkin sulit untuk dipercaya kalau bisa dibuat cerita seperti ini, tetap masih ada bumbu-bumbu khas dari Disney.  Suka banget sama karakter Otin! hahahaha pengen liat karakter kadal… https://t.co/xSN98Jre69";0;1;0;1;in;950632407530577920;1762750506072682851;WatchmenID;https://twitter.com/WatchmenID/status/1762751193166786702
Wed Feb 28 08:04:05 +0000 2024;1762750506072682851;"“Iwájú” merupakan serial animasi kolaborasi antara Walt Disney Animation Studios dan Kugali.   Menceritakan tentang persahabatan antara Tola dan Kole yang berasal dari latar belakang yang berbeda. https://t.co/B7xTZNwN0o";1;4;12;37;in;950632407530577920;1762750506072682851;WatchmenID;https://twitter.com/WatchmenID/status/1762750506072682851
Wed Feb 28 02:54:32 +0000 2024;1762672606808006993;"Buat yang butuh asupan series historical drama yang megah, dan (literally) epic, tandain! Sudah bisa di-streaming di @DisneyPlusID https://t.co/JHzfsvxtQn";0;2;0;13;in;950632407530577920;1762670066062229634;WatchmenID;https://twitter.com/WatchmenID/status/1762672606808006993
