created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 30 15:30:12 +0000 2024;1752353526364483982;"BBBBAJINGAAAAAAAN!! 🤯🤯👏🏻👏🏻👏🏻";5;19;15;216;in;950632407530577920;1752353526364483982;WatchmenID;https://twitter.com/WatchmenID/status/1752353526364483982
Tue Jan 30 14:39:43 +0000 2024;1752340820391538873;"@kampusfilmID semangat kembali minn 💪";0;1;0;0;in;950632407530577920;1752337063125696924;WatchmenID;https://twitter.com/WatchmenID/status/1752340820391538873
Tue Jan 30 13:54:40 +0000 2024;1752329484953595982;"@ambiiiinn Aamiinn makasih 🙏🏻";0;0;0;0;in;950632407530577920;1752296702751678586;WatchmenID;https://twitter.com/WatchmenID/status/1752329484953595982
Tue Jan 30 11:44:24 +0000 2024;1752296702751678586;"👋 https://t.co/WHHjpQyaaK";17;31;11;125;qme;950632407530577920;1752296702751678586;WatchmenID;https://twitter.com/WatchmenID/status/1752296702751678586
Tue Jan 30 11:26:51 +0000 2024;1752292287437213900;"Trailer dari Bonnie.  Sebuah film drama laga remaja, yang bakal tayang 29 Februari 2024.  Wdyt? https://t.co/mhIPV1TLOS";31;19;55;277;in;950632407530577920;1752291724175790329;WatchmenID;https://twitter.com/WatchmenID/status/1752292287437213900
Tue Jan 30 11:24:37 +0000 2024;1752291724175790329;"Bonnie, film Indonesia dengan cukup banyak adegan berantemnya, menarik. https://t.co/znvAvx60jk";43;98;243;2464;in;950632407530577920;1752291724175790329;WatchmenID;https://twitter.com/WatchmenID/status/1752291724175790329
Tue Jan 30 11:16:41 +0000 2024;1752289726269456640;"From the twisted mind of Matthew Vaughn, Argylle Lets go!! https://t.co/df7LqxcNdF";10;4;5;42;en;950632407530577920;1752289726269456640;WatchmenID;https://twitter.com/WatchmenID/status/1752289726269456640
Tue Jan 30 00:57:33 +0000 2024;1752133914939048339;"kenapa anda yang sewot?";0;4;0;8;in;950632407530577920;1752133914939048339;WatchmenID;https://twitter.com/WatchmenID/status/1752133914939048339
Tue Jan 30 00:50:38 +0000 2024;1752132176043442305;"@cinemuach 💪";0;0;0;0;qme;950632407530577920;1751964881199460489;WatchmenID;https://twitter.com/WatchmenID/status/1752132176043442305
Tue Jan 30 00:42:46 +0000 2024;1752130196386557978;". https://t.co/1vEPiya5KB";33;38;24;144;zxx;950632407530577920;1752130196386557978;WatchmenID;https://twitter.com/WatchmenID/status/1752130196386557978
Mon Jan 29 23:48:01 +0000 2024;1752116418198524137;"@teppy87 😂";0;1;0;1;qme;950632407530577920;1752018928552050918;WatchmenID;https://twitter.com/WatchmenID/status/1752116418198524137
Mon Jan 29 15:14:42 +0000 2024;1751987238655934672;"Ghostbusters: Frozen Empire segera di bioskop 🧊🧊🧊   https://t.co/7tlxcMa0RR";4;7;22;70;de;950632407530577920;1751987238655934672;WatchmenID;https://twitter.com/WatchmenID/status/1751987238655934672
Mon Jan 29 12:32:32 +0000 2024;1751946427381825865;"Gimana, udah? https://t.co/ecJnjDCRLq";102;94;37;271;in;950632407530577920;1751946427381825865;WatchmenID;https://twitter.com/WatchmenID/status/1751946427381825865
Mon Jan 29 10:43:45 +0000 2024;1751919052887613727;"Akhirnya langsung ke @KlikFilm";1;0;2;10;in;950632407530577920;1751919052887613727;WatchmenID;https://twitter.com/WatchmenID/status/1751919052887613727
Mon Jan 29 10:35:31 +0000 2024;1751916978703671480;"SIKSA KUBUR By Jokan https://t.co/I1ftdippad";146;144;287;1416;in;950632407530577920;1751916978703671480;WatchmenID;https://twitter.com/WatchmenID/status/1751916978703671480
