created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 29 23:59:33 +0000 2023;1730013660163252360;"GODZILLA X KONG: THE NEW EMPIRE!  April 2024 🖐️ https://t.co/Zchd2K8hiI";24;19;99;465;en;950632407530577920;1730013660163252360;WatchmenID;https://twitter.com/WatchmenID/status/1730013660163252360
Wed Nov 29 17:41:23 +0000 2023;1729918490503713139;"@shurimproll Asian Perspective Short 4  https://t.co/cjmj3gUM8C";0;0;0;1;en;950632407530577920;1729822978135801889;WatchmenID;https://twitter.com/WatchmenID/status/1729918490503713139
Wed Nov 29 17:40:36 +0000 2023;1729918294705238102;"@___Aprodhitee harus";0;0;0;1;in;950632407530577920;1729814581290123454;WatchmenID;https://twitter.com/WatchmenID/status/1729918294705238102
Wed Nov 29 14:20:17 +0000 2023;1729867883558408524;"Suasana pemutaran perdana dua episode dari TIRA di @JAFFJogja.  #JAFF2023 #JAFF18 https://t.co/NXg4EXq7QZ";1;2;11;65;in;950632407530577920;1729867883558408524;WatchmenID;https://twitter.com/WatchmenID/status/1729867883558408524
Wed Nov 29 13:27:15 +0000 2023;1729854537387725127;"Akhirnya menonton film gemas yang dialihwahanakan dari lagu Rapsodi ini 🥺💕  Humor usil yang mempertanyakan konsep kebahagiaan itu sendiri, meskipun bangsat, momennya manis-manis banget!!  #JAFF18REVIEW https://t.co/pw8giK92Vo";2;4;22;65;in;950632407530577920;1729854537387725127;WatchmenID;https://twitter.com/WatchmenID/status/1729854537387725127
Wed Nov 29 13:01:05 +0000 2023;1729847953441820879;"🤲";0;0;0;0;art;950632407530577920;1729847953441820879;WatchmenID;https://twitter.com/WatchmenID/status/1729847953441820879
Wed Nov 29 11:59:15 +0000 2023;1729832390741074111;"Akhirnya ya... TIRA.  Project selanjutnya dari Jagat Sinema Bumilangit 🔥   https://t.co/IoCk3hUV7i";38;54;170;604;in;950632407530577920;1729832390741074111;WatchmenID;https://twitter.com/WatchmenID/status/1729832390741074111
Wed Nov 29 10:52:05 +0000 2023;1729815488505458840;"File (Parvandeh) masuk mengisi salah satu segmen di "Asian Perspective Shorts 4" nya @JAFFJogja tahun ini.  Bersama film-film pendek lainnya, film ini bisa ditonton di @KlikFilm https://t.co/AXWPcPjfCa";0;0;6;34;in;950632407530577920;1729814581290123454;WatchmenID;https://twitter.com/WatchmenID/status/1729815488505458840
Wed Nov 29 10:48:29 +0000 2023;1729814581290123454;"Seorang anak 6 tahun dibawa ibunya untuk medical check-up untuk keperluan masuk sekolah.  Film berdurasi 20 menit yang bakal bikin kalian "WEI INI SEBENERNYA APA YANG TERJADI SIH??", intense banget! 😭  Akting para castnya mendukung semua. Salut!  #JAFFREVIEW https://t.co/lpWjxDOHjo";1;3;50;453;in;950632407530577920;1729814581290123454;WatchmenID;https://twitter.com/WatchmenID/status/1729814581290123454
Wed Nov 29 10:36:15 +0000 2023;1729811505648992543;"Laura Basuki kembali main film bergenre thriller-horor, kali ini disutradarai oleh @upirocks bertajuk Sehidup Semati.  Dijadwalkan rilis awal tahun 2024.  https://t.co/1dOuFhQ7A5";14;19;66;261;in;950632407530577920;1729811505648992543;WatchmenID;https://twitter.com/WatchmenID/status/1729811505648992543
Wed Nov 29 10:32:58 +0000 2023;1729810678607725015;"Hickey, film pendek berdurasi 20 menit ini masuk mengisi salah satu segmen di "Asian Perspective Shorts 4" nya @JAFFJogja tahun ini.  Bersama film-film pendek lainnya, film ini bisa ditonton di @KlikFilm https://t.co/et98mbxzBY";1;0;2;33;in;950632407530577920;1729809705063645590;WatchmenID;https://twitter.com/WatchmenID/status/1729810678607725015
Wed Nov 29 10:29:06 +0000 2023;1729809705063645590;"Heyji punya kebiasaan nge-share foto sebagian tubuhnya di sosial media. Tak lama, beberapa hal janggal terjadi.  Cukup menarik sejak menit2 awal, dan kemudian bikin bengong saat endingnya muncul.  Tips: Cari temen nonton buat temen diskusi saat filmnya berakhir 😂  #JAFF18REVIEW https://t.co/gvaAY3BFdZ";2;2;28;220;in;950632407530577920;1729809705063645590;WatchmenID;https://twitter.com/WatchmenID/status/1729809705063645590
Wed Nov 29 08:43:14 +0000 2023;1729783060940361947;"Buat kalian yang pengen liat review tontonan kami di sepanjang tahun 2023, silakan cek thread berikut ini atau klik =&gt  #wmidreview   https://t.co/2cVLOSPyL3";0;0;0;6;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729783060940361947
Wed Nov 29 08:36:52 +0000 2023;1729781460809228726;"Napoleon (2023) Rating: La France, l'armée, tête d'armée, Joséphine / 10 https://t.co/PTHN1ZxuGv";3;2;0;19;fr;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729781460809228726
Wed Nov 29 08:35:59 +0000 2023;1729781239769350236;"Napoleon merupakan film berkualitas tinggi dari segi visual layaknya film-film Ridley Scott yang lainnya.  Film ini bisa dinikmati bahkan oleh orang yang tak tahu sama sekali tentang Napoleon, karena ceritanya memang sedetail itu, walaupun-- katanya ga akurat-akurat amat. https://t.co/3jqKjUwO3f";4;3;1;7;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729781239769350236
Wed Nov 29 08:34:52 +0000 2023;1729780957970911649;"Secara visual, mungkin udah banyak yang melihat video promo tentang aksi Napoleon.  Kami pikir kita akan banyak mendapatkan adegan aksi yang epik seperti di film Kingdom of Heaven atau Gladiator, tapi porsinya ternyata lebih sedikit dari perkiraan. https://t.co/9QnrdKUn8S";0;1;0;7;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729780957970911649
Wed Nov 29 08:33:53 +0000 2023;1729780708682371078;"Joaquin Phoenix bener-bener udah ga perlu ditanyain lagi kualitas aktingnya sebagai Napoleon.  Yang ga nyangka adalah akting Vanessa Kirby sebagai Josephine.  Flawless banget dari awal sampai akhir. Chemistry mereka kerasa banget, bikin meleleeeeh https://t.co/wgTRKbPGIm";1;1;1;15;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729780708682371078
Wed Nov 29 08:27:33 +0000 2023;1729779115790618640;"Elemen romance ini yang mungkin jadi alasan kenapa Napoleon kerasa kurang 'epik' dibandingkan film epik Ridley Scott yang lainnya.  Tapi kalau kamu tahu sejarah Napoleon, pasti kamu tahu betapa erat perjalanan hidup dan karir Napoleon dengan Josephine https://t.co/dA1IexCPEJ";1;2;0;11;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729779115790618640
Wed Nov 29 08:27:03 +0000 2023;1729778987906294249;"Apakah bikin film Napoleon jadi jelek? Tidak, justru sebaliknya.  Film Napoleon jadi terasa unik dan berbeda terutama di Act 1 dan Act 2, dan baru terasa familiaritas cerita khas Ridley Scott di Act 3.  Susah jelasin rasanya, intinya 'rasa' filmnya beda tapi tetep enak ditonton https://t.co/TWPjXbixic";1;1;1;19;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729778987906294249
Wed Nov 29 08:25:48 +0000 2023;1729778674122063892;"Sebagai penggemar berat film Kingdom of Heaven dan Gladiator, Napoleon adalah film yang 'berbeda'.  Kalau di film lain journey of characternya banyak digambarkan banyak dari perspektif aksi, Napoleon justru diceritakan dari perspektif romance dengan cinta sejatinya, Josephine. https://t.co/cHcBXm5SXE";0;1;1;26;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729778674122063892
Wed Nov 29 08:20:20 +0000 2023;1729777300785238407;"Iseng cek IMDBnya, Ridley Scott sudah 139x jadi produser film, dan 52x jadi sutradara film.  Sekarang, Ridley Scott kembali menunjukan kepiawaiannya membuat film epik di Napoleon. https://t.co/CSjPqoI4SO";0;1;0;17;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729777300785238407
Wed Nov 29 08:18:08 +0000 2023;1729776744020730207;"Buat yang belum tahu, yang menyutradarai film Napoleon adalah Ridley Scott yang juga menjadi sutradara beberapa film legendaris, mulai dari Blade Runner, Alien, The Martian dan beberapa film epik, seperti Gladiator, The Last Duel, Robin Hood, Kingdom of Heaven, dan lainnya. https://t.co/wGBlERekqk";1;2;0;29;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729776744020730207
Wed Nov 29 08:15:00 +0000 2023;1729775958645719546;"Oke berikut review kami untuk Napoleon (2023)  #wmidreview https://t.co/VgrfxoK9DZ";47;39;116;723;in;950632407530577920;1729775958645719546;WatchmenID;https://twitter.com/WatchmenID/status/1729775958645719546
Wed Nov 29 07:39:11 +0000 2023;1729766942225903769;"Teoh Gay Hian menerima JAFF Honorary Award 2023 atas kontribusinya untuk sinematografi dalam film-film Indonesia.   Penghargaan diberikan pasca penayangan kedua 24 Jam Bersama Gaspar di @JAFFJogja.  #JAFF2023 #JAFF18 https://t.co/ASzhoiOziM";2;1;4;18;in;950632407530577920;1729766942225903769;WatchmenID;https://twitter.com/WatchmenID/status/1729766942225903769
Wed Nov 29 07:12:13 +0000 2023;1729760157054197842;"Dreamy Christmas, ada di Lantai G Pacific Place dan sampai 7 Januari 2024  ada Weekend Treats-nya juga nih sampai 28 April 2024 🍫🍭🍬 https://t.co/QPhsAPFVWz";0;0;2;8;in;950632407530577920;1729759327441842402;WatchmenID;https://twitter.com/WatchmenID/status/1729760157054197842
Wed Nov 29 07:08:55 +0000 2023;1729759327441842402;"Lagi ada instalasi #WonkaMovie nih di Pacific Place Mall https://t.co/jRHE3qpPSl";5;3;24;94;in;950632407530577920;1729759327441842402;WatchmenID;https://twitter.com/WatchmenID/status/1729759327441842402
Wed Nov 29 07:01:32 +0000 2023;1729757468605960281;"@yanpanjie yang jawab biar @conanfansclub aja";0;1;0;1;in;950632407530577920;1729747991928410525;WatchmenID;https://twitter.com/WatchmenID/status/1729757468605960281
Wed Nov 29 06:23:53 +0000 2023;1729747991928410525;"marah";2;1;55;204;in;950632407530577920;1729747991928410525;WatchmenID;https://twitter.com/WatchmenID/status/1729747991928410525
Wed Nov 29 05:17:05 +0000 2023;1729731181707505925;"@NyctPhilee otw";0;0;0;0;und;950632407530577920;1729698776518996009;WatchmenID;https://twitter.com/WatchmenID/status/1729731181707505925
Wed Nov 29 05:11:43 +0000 2023;1729729833855311901;"Ketemu Soekarno https://t.co/ZMdfjRsSWM";21;21;25;295;in;950632407530577920;1729728429828763964;WatchmenID;https://twitter.com/WatchmenID/status/1729729833855311901
Wed Nov 29 05:08:10 +0000 2023;1729728938518180323;"Ketemu Tjokroaminoto https://t.co/x1c5xEOqYq";1;9;21;278;in;950632407530577920;1729728429828763964;WatchmenID;https://twitter.com/WatchmenID/status/1729728938518180323
Wed Nov 29 05:06:09 +0000 2023;1729728429828763964;"Buya Hamka ketemu Tjokroaminoto, Buya Hamka ketemu Soekarno.  Semacam membentuk universe tokoh nasional. https://t.co/IXnHUbtoi5";151;145;715;8223;in;950632407530577920;1729728429828763964;WatchmenID;https://twitter.com/WatchmenID/status/1729728429828763964
Wed Nov 29 04:07:46 +0000 2023;1729713739388133545;"TIRA 16 Desember! https://t.co/bmmeIGxYGh";8;8;16;127;pt;950632407530577920;1729713739388133545;WatchmenID;https://twitter.com/WatchmenID/status/1729713739388133545
Wed Nov 29 03:57:02 +0000 2023;1729711036087861538;"@buahahaz iya nyesek banget dan dwi sasono aktingnya memang 👍";0;1;0;0;in;950632407530577920;1729437122212528220;WatchmenID;https://twitter.com/WatchmenID/status/1729711036087861538
Wed Nov 29 03:41:07 +0000 2023;1729707033270550644;"Besok, film bagus ini tayang di bioskop.  Ga sabar liat respon penonton terhadap filmnya ❤️  https://t.co/kWYgn2m6E5";133;53;265;1192;in;950632407530577920;1729707033270550644;WatchmenID;https://twitter.com/WatchmenID/status/1729707033270550644
Wed Nov 29 03:25:20 +0000 2023;1729703061377950176;"Event JAFF kemarin ngasih liat teaser eksklusif dari series Ratu Adil.  Ada adegan Dian Sastro megang pistol, tembak-tembakan dan tabrak-tabrakan mobil 😮  Ternyata jadi series action, menarik dan patut ditunggu.  https://t.co/P7NlTyAbHD";19;16;99;373;in;950632407530577920;1729703061377950176;WatchmenID;https://twitter.com/WatchmenID/status/1729703061377950176
